Product,Price,Link
"SAMSUNG Galaxy S21 Plus (Phantom Violet, 256 GB)","₹75,999",/samsung-galaxy-s21-plus-phantom-violet-256-gb/p/itm56665cfc0924f?pid=MOBFZ3TM9RVNZACT&lid=LSTMOBFZ3TM9RVNZACTO0G0NE&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_23_529&otracker=search&fm=organic&iid=1c770bda-b6c9-412b-99fb-1f6c752f0f6e.MOBFZ3TM9RVNZACT.SEARCH&ppt=None&ppn=None&ssid=yi3ium9ub40000001638025442565&qH=0258c7d48242959a
,,
"SAMSUNG Galaxy A31 (Prism Crush White, 128 GB)","₹19,899",/samsung-galaxy-a31-prism-crush-white-128-gb/p/itma110137399bdc?pid=MOBFRZZHFMBJC4A6&lid=LSTMOBFRZZHFMBJC4A6IAPK6E&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_24_553&otracker=search&fm=organic&iid=29ca8aa9-36cc-4d12-a2e7-7d03388c0fd3.MOBFRZZHFMBJC4A6.SEARCH&ppt=None&ppn=None&ssid=6tepzme46o0000001638025444159&qH=0258c7d48242959a
,,
"SAMSUNG Galaxy M30s (Black, 64 GB)","₹14,069",/samsung-galaxy-m30s-black-64-gb/p/itm918b2523e0fb7?pid=MOBFKZ8NRZ6XZGFE&lid=LSTMOBFKZ8NRZ6XZGFEYKICJO&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_25_577&otracker=search&fm=organic&iid=d0c03fb5-f41d-4c9b-a48d-da86e6f1e7d9.MOBFKZ8NRZ6XZGFE.SEARCH&ppt=None&ppn=None&ssid=eg2wqbyosg0000001638025445510&qH=0258c7d48242959a
,,
"SAMSUNG Galaxy J1 (White, 4 GB)","₹6,190",/samsung-galaxy-j1-white-4-gb/p/itmeuyd49sh5npys?pid=MOBE56HEMBMHGY6H&lid=LSTMOBE56HEMBMHGY6H4S3LUB&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_26_601&otracker=search&fm=organic&iid=ad7a3921-11a7-4f67-bfc4-29a66aef6820.MOBE56HEMBMHGY6H.SEARCH&ppt=None&ppn=None&ssid=chej61sfxs0000001638025446796&qH=0258c7d48242959a
,,
"SAMSUNG Galaxy A7 (Pearl White, 16 GB)","₹19,990",/samsung-galaxy-a7-pearl-white-16-gb/p/itme9ygcfhxkrxnn?pid=MOBE4U8NHABCD37V&lid=LSTMOBE4U8NHABCD37VX4O3W9&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_27_625&otracker=search&fm=organic&iid=e1ad0898-f57d-47d5-a05f-544447205fe4.MOBE4U8NHABCD37V.SEARCH&ppt=None&ppn=None&ssid=xz2y5l3ps00000001638025447923&qH=0258c7d48242959a
,,
"SAMSUNG Galaxy A6 (Gold, 64 GB)","₹17,999",/samsung-galaxy-a6-gold-64-gb/p/itmf7f65k4kysmdh?pid=MOBF7F65G8YHXQQZ&lid=LSTMOBF7F65G8YHXQQZ0WBDHJ&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_28_649&otracker=search&fm=organic&iid=d99960e5-0abc-44d9-a090-5ed5428bb66f.MOBF7F65G8YHXQQZ.SEARCH&ppt=None&ppn=None&ssid=ll1hbhse400000001638025448924&qH=0258c7d48242959a
,,
"SAMSUNG Grand Prime (White, 8 GB)","₹7,992",/samsung-grand-prime-white-8-gb/p/itmeyfhgfzkzwghu?pid=MOBEYAW2YQANCQKA&lid=LSTMOBEYAW2YQANCQKAAKG879&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_29_673&otracker=search&fm=organic&iid=665065f6-2bf4-4419-84b3-8f4ed12ba74c.MOBEYAW2YQANCQKA.SEARCH&ppt=None&ppn=None&ssid=bi0azvg1g00000001638025450054&qH=0258c7d48242959a
